问题,是否有效,评判依据
还有红包吗,是,询问活动情况
保湿吗,是,可能询问产品
云朵化妆包,是,提及产品名称
你这是现场直播吗,是,提问适合直播
没货呀,是,询问商品存货
去斑的,是,提问有效
求讲解6号宝贝,是,提问内容明确，适合回答
讲解6号,是,提问中包含商品编号，符合有效提问标准
6号,是,提问中包含商品编号，符合有效提问标准
6号宝贝,是,提问中包含商品编号，符合有效提问标准
6号链接,是,提问中包含商品编号，符合有效提问标准
6链接,是,提问中包含商品编号，符合有效提问标准
6,否,内容不明确，纯数字
求讲解8号宝贝,是,提问内容明确，适合回答
讲解8号,是,提问中包含商品编号，符合有效提问标准
8号,是,提问中包含商品编号，符合有效提问标准
8号宝贝,是,提问中包含商品编号，符合有效提问标准
8号链接,是,提问中包含商品编号，符合有效提问标准
8链接,是,提问中包含商品编号，符合有效提问标准
8,否,内容不明确，纯数字
搞这么,否,内容不明确
什么品牌,是,提问品牌信息
直播间备注什么,否,内容不明确
怎么无法换购了,是,提问换购问题
下单备注什么,是,提问适合直播
还送什么,是,提问商品信息
冰箱？,是,询问产品信息
39号有什么赠品,是,询问赠品信息
精华和霜区别,是,提问适合直播
想淡斑抗衰老怎么拍,是,提问适合直播
主播安心乳是哪款,是,提问产品信息
1200需要一次付才有礼品？还是总共消费1200就有？,是,提问消费细则
399减100的券什么时候有呢,是,询问优惠信息
气垫，皮肤有斑用那个色号,是,提问适合直播
抽手机的参与规则是什么？,是,提问适合直播
有抗老提亮的吗,是,提问适合直播
十件套有吗,是,提问商品信息
介绍一下90连接,是,提问商品链接
是机器人啊,是,提问有效，是数字人
居家,否,内容不明确
是机器人么,是,提问适合直播
可这可这打彩色的吗,否,语义不清
这个打印机打彩色的吗,是,提问有效，咨询打印机
怎么抢不了,是,询问购买问题
连不上,是,提问直播问题
直播下单享加赠,是,促销信息有效
抢到了,是,适合直播环境
怎么邦定,是,提问适合直播环境
太过分了一直刷也米有,是,情感表达评论
400-100呢,否,无效问题，语义不明确
抢不了,是,表达购买困难
怎么邦定，,是,提问适合直播
500下架了？？？,否,无效问题，语义不明确
50号宝贝下架了？？？,是,提问商品
还是录播,否,内容无实际意义
使用方法，和手法,是,提问商品使用方法
过分,否,内容含糊
还没抢就下架了？,是,正常表达
没有互动,否,内容无实际意义
300-100呢,否,内容不明确
定点没有,否,内容不明确
有没有诚意,是,提问适合直播
无语了,否,内容无实际意义
哪有券都没看到,是,有效，咨询优惠券
大白罐可以用于面部吗,是,提问适合直播
券哪里去了,是,询问优惠信息
去头皮屑买哪一个,是,提问适合直播
真的吗,是,提问有效
主播你是真人吗,是,提问主播真实性
还有399-100券吗,是,询问优惠券
300-100的券还有吗,是,询问优惠券
这是直播吗,是,提问适合直播
晚上用袋鼠裤好还是黑金帮好,是,提问适合直播
怎么感觉是回放,是,疑问性评论
精粹水加面霜和精粹水加水绒霜的效果区别在哪里啊,是,商品比较
黑珍珠有套装吗,是,提问适合直播
4件套,是,可能询问商品
主播,否,内容不明确
下架了，没上,是,询问商品状态
白金跟胶原有什么区别,是,提问内容相关
加厚,是,可能询问产品
加大,是,可能询问产品
可以补差价吗,是,适合电商提问
3代的盖帽有吗,是,提问商品信息
五千多的多送一个黑色是什么,是,询问产品信息
怎么备注暗号啊,是,提问适合直播
咱家产品粉底液哪个遮暇好？,是,提问适合直播
粉底液哪个遮暇好？,是,提问适合直播
这个c乳能不能涂脸,否,内容不适宜
2700型号的墨盒有吗,是,询问商品信息
真的涨价了,是,涉及价格变动
有没有708色号,是,询问产品信息
水买哪种,是,提问适合直播
有什么活动,是,提问适合直播
箱装的拉拉裤拆封要是不好用可以退吗,是,提问适合直播
三件套走哪买,是,提问适合直播
男士的没卷了吗,是,提问商品情况
买眼霜送什么,是,提问适合直播
三件套几号,是,询问产品信息
你好主播,是,普通问候语
窝趣是AI,否,无实际意义
为什么没有给我送首购礼物,是,提问适合直播
没有160ml的了,是,询问产品规格
脏橘色号,是,询问产品信息
脏橘上链接,否,内容不明确
看着像ai主播,是,内容相关适合直播
哦哦,否,内容过于简略
3件8折怎么没看到呢,是,询问活动详情
录播吗,是,提问直播内容
奶嘴12个月怎么拍,是,提问清晰
抗老推荐啥,是,提问适合直播
646焦糖橘是原来的脏橘色号吗,是,提问产品信息
暗号,否,内容不明确
水哪个链接？,是,询问直播商品
适合多大年龄,是,提问适合年龄
3岁喝奶用哪种,是,提问适合直播
什么样质地,是,提问商品质地
京东卡算实付金额吗,是,适合电商提问
水是哪个链接？,是,询问商品链接
有送镜子吗,是,询问活动赠品
再出一次魏无羡的巧克力可爱多吧,是,提问适合直播
再出一次魏无羡的巧克力可爱多吧再出一次魏无羡的巧克力可爱多吧,是,提出商品请求
包包看一下,是,提问商品细节
看看683,是,询问商品编号
回放吗,是,询问直播内容
是不是比新款多,是,提问产品信息
[开心],否,纯表情无实际意义
昨天75折，今天85折,是,适合电商环境
683看看,否,内容不明确
小露珠是满2500才送图片上的赠品么,是,提问赠品条件
防脱发生发用哪个？,是,提问适合直播
清新帮拉拉裤Xxl多少钱一包,是,询问产品价格
清新帮Xxl多少号链接,是,询问商品链接
送什么,是,提问适合直播
有抗老眼霜嘛,是,提问产品信息
16个月用哪个奶嘴？,是,提问适合直播
头发拉直了适合用那种沙宣洗发水,是,提问适合产品
面膜是买5盒送5盒吗,是,提问商品优惠
哎，又一个ai主播,是,内容相关
399减100的优惠券还有吗,是,询问优惠信息
今天截屏抽奖抽什么,是,提问适合直播
小卡怎么得？,是,提问商品获取
可以贴一下精华乳的全成分表吗？,是,提问适合直播
虚拟主播可以互动吗？,是,提问适合直播
早上好[-送你心心],是,问候语，适合直播
直播间暗号是什么,是,提问适合直播
现在是人工还是AI,是,提问适合直播
AI有点可怕,是,内容相关适宜
发膜奶酪罐和瞬顺的区别在哪,是,提问产品区别
怎么还播放的视频[-流汗],是,询问直播情况
黑色精油和黄色的区别,是,提问产品区别
吧,否,内容无实际意义
真人吗,是,提问适合直播
刚才1000多的套餐找不到了,是,询问商品信息
下单任意正装抽化妆包,是,提问适合直播
拉拉裤白天推荐一下,是,提问适合直播
卸妆油保质期多少哇,是,提问产品信息
啦啦,否,内容无实际意义
私藏的为什么要拿出来卖？,是,提问适合直播
晚上好[-玫瑰][-成交][*神了][-鼓掌],否,纯表情无实际意义
黄黑皮适合哪个颜色的唇釉呀,是,提问适合直播环境
许愿万能卡,否,无实际意义
哈喽美女,是,观众打招呼
华丽摇滚仙女泪断货回归！抓紧抢！,是,产品相关评论
皮肤杂质都能祛除吗,是,适合提问
",[-666]",否,纯表情符号
拼,否,内容不明确
不是直播,否,内容无实际意义
买精华可以送粉底液试用装不,是,提问适合直播
主播我想问个事,是,提问适合直播
这是AI人吗？,是,提问适合直播
你像ai,否,内容不明确
这么高级吗,是,语义清晰适合环境
睡觉了再见,否,内容无实际意义
有没有面膜,是,提问适合直播
ai[-鼓掌],否,纯表情符号
真的很好看,是,评论积极且恰当
组合型化妆品吗,是,提问适合直播
什么牌子,是,提问品牌信息
晚上好啊主播,是,普通问候语
狗狗可以吃吗,是,提问适合直播
敏感肌角质层薄适合黑色的还是金色的,是,提问适合直播
你是ai吧,是,询问数字人直播
该睡了,否,内容无关直播
黑眼圈超级大了我,是,情感表达评论
都快三点了，肯定睡了呀,是,适合直播环境
应该是录播,否,疑似非实时
鳄鱼皮气垫,是,提问商品信息
b5霜是是瓶口塑封的嘛,是,提问产品细节
送的那个是杯子吗？,是,提问适合直播
霜是几号,是,询问产品信息
直播下单需要备注吗,是,适合电商提问
你为什么这么漂亮,是,评论内容适宜
有什么活动吗？,是,提问适合直播
ai直播吗？,是,提问适合直播
有没有单独粉扑卖？,是,提问适合直播
卸妆油,是,提问产品信息
广告挺能投啊,否,含有广告嫌疑
待会下单了就给差评，然后退款,否,恶意行为
化妆镜直播间下单多送什么,是,提问适合直播
这个虚拟主播居然用了菁菁的样子[-惊讶][-哈哈哈],是,内容相关且清晰
[酷][酷][酷],否,纯表情符号
直播暗号是什么,是,提问内容相关
这是录播？,是,询问直播性质
可以当高光吗,是,适合直播环境
AI的吧，嘴型完全不对,是,内容相关提问
31斤买什么码？,是,提问尺码相关
数字人直播吗？？？？,是,提问内容清晰
数字人吗,是,询问数字人直播吗
有优惠价嘛,是,询问优惠信息
两个月宝宝用哪个帮？,是,可能询问商品
真漂亮,是,评论积极且恰当
50岁用哪款眼霜,是,提问适合直播
755喷墨打印机,是,询问产品信息
狗屁,否,含辱骂性言语
什么皮肤都可以吗,是,提问适合直播
混油可以？,是,提问适合直播
美女好漂亮哦，是,是,评论内容适宜
我喜欢,是,情感积极
几号啊,是,询问商品信息
[-红唇],否,纯表情符号
送什么,是,提问适合直播
[-点赞点赞][-点赞点赞][-点赞点赞],否,纯表情无实际意义
我要买清新帮拉拉裤,是,提问购买产品
我说直播间下单有没有优惠,是,询问优惠信息
清新帮拉拉裤xl,是,询问产品信息
弹链接,否,内容无实际意义
了解了解，主持人,是,语义清晰
碧浪有冷水洗衣粉吗,是,提问商品信息
这个ai挺好,是,评论内容有效
大家都不睡的吗？,是,互动性评论
祛斑选哪个,是,提问适合直播
眼霜几号？,是,询问产品信息
主播帮我看下适合用那套护肤品,是,提问适合直播环境
多久,否,内容不明确
可以先帮我讲解吗,是,提问适合直播
可以,是,语义清晰适合环境
直播下单享加赠,是,适合电商直播
好的，我先看看，马上女神节了,是,语义清晰适合环境
产品挺好,是,评论内容有效
美丽女神主播早上好！亲您哟！[-爱心][-玫瑰],是,礼貌问候
好好好好好好好好用,否,内容重复无意义
就一假人无限循环说话,否,无实际意义
水怎么用,是,提问适合直播
怎么领399减80卷,是,询问优惠信息
洁面后用水吗,是,提问清洁步骤
下单69,是,表明购买意向
[-666][*神了][-鼓掌],否,纯表情无实际意义
牛郎色眼影[-花痴],否,含不恰当内容
拍66顺便去拍67吗,是,询问产品信息
长豆的可以用吗,是,提问适合直播
茶牛郎和粉牛郎的区别？,是,提问内容相关
没听到什么区别,是,反馈产品体验
茶牛郎和粉牛郎区别,是,提问内容相关
38活动抢先购开始啦,是,适合电商直播
华丽摇滚仙女泪断货回归！抓紧抢！[-爱了爱了],是,表达清晰
湿巾,否,内容无实际意义
好像瑾汐姑姑,否,无实际意义
混合性用哪款洗面奶,是,提问适合直播
40了应该哈哈哈[-哈哈哈],否,含无意义表情
五元红包怎么领,是,提问领取红包
100-40优惠券在哪,是,询问优惠信息
来了,是,简短问候语
粉底送的泵头正装，小样都可以用吗,是,提问适合直播
主播早上[-哈哈哈],是,语义清晰
不知道怎么买定妆粉,是,提问适合直播
这个好用,是,语义清晰适合环境
什么意思,是,提问内容有效
领肥料啦,是,适合直播环境
肥料到手，撤,是,表达收货满意
很划算,是,评论内容适宜
ar直播吗,是,提问直播内容
肥料,否,内容无实际意义
为什么我购买显示查看商品详情,是,提问商品详情
该地区无货,是,询问库存情况
A醇0.3介紹一下,是,提问产品信息
是机器人吗？,是,提问适合直播
粉底液，皮肤混干油皮，还有点黑黄，还有痘印，建议哪个好用。,是,提问适合直播
亲，有礼盒吗,是,询问产品信息
送的包包看下,是,提问商品信息
36岁混合皮，推荐礼盒？,是,提问适合直播
是礼盒包装吗,是,适合提问
怎么用，讲讲,是,提问适合直播
讲讲夜皇后怎么使用,是,提问适合直播环境
早上好[开心],是,问候语，适宜直播
液体,否,内容不明确
夜皇后使用方法讲讲,是,提问产品使用
已经下单，送黑色包吗,是,询问产品赠品
[-鼓掌][-鼓掌][-鼓掌][-鼓掌][-鼓掌][-鼓掌][-鼓掌][-鼓掌],否,纯表情无实际意义
